"","X","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID","SSB_MSY_re","TotYield_MSY_re","SSB_Unfished_re","depletion_re","params_on_bound_re","NatM_p_1_Fem_GP_1_re","L_at_Amin_Fem_GP_1_re","L_at_Amax_Fem_GP_1_re","VonBert_K_Fem_GP_1_re","CV_young_Fem_GP_1_re","CV_old_Fem_GP_1_re","Wtlen_1_Fem_re","Wtlen_2_Fem_re","Mat50._Fem_re","Mat_slope_Fem_re","Eggs.kg_inter_Fem_re","Eggs.kg_slope_wt_Fem_re","RecrDist_GP_1_re","RecrDist_Area_1_re","RecrDist_Seas_1_re","CohortGrowDev_re","SR_LN_R0_re","SR_BH_steep_re","SR_sigmaR_re","SR_envlink_re","SR_R1_offset_re","SR_autocorr_re","InitF_1Fishery_re","LnQ_base_1_Fishery_re","LnQ_base_2_Survey_re","LnQ_base_3_CPUE_re","SizeSel_1P_1_Fishery_re","SizeSel_1P_2_Fishery_re","SizeSel_1P_3_Fishery_re","SizeSel_1P_4_Fishery_re","SizeSel_1P_5_Fishery_re","SizeSel_1P_6_Fishery_re","SizeSel_2P_1_Survey_re","SizeSel_2P_2_Survey_re","SizeSel_2P_3_Survey_re","SizeSel_2P_4_Survey_re","SizeSel_2P_5_Survey_re","SizeSel_2P_6_Survey_re","Catch_endyear_re"
"1",1,1417700000,164180000,4084110000,0.384360362477994,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,117851000,781.096,0.00714359,0,-41.8454,NA,NA,307.98,513.895,NA,NA,NA,NA,NA,0.809811,0,0,0,0,0,1582710000,181080000,4551190000,0.357614162449821,0,0.2,20.1043,133.61,0.195183,0.0999631,0.102533,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7951,0.65,0.4,0,0,0,0,0,-0.0337987,0,50.2861,-3,5.08773,15,-999,-999,41.8384,-4,5.29288,14,-99,99,117851000,1796.33,5.10804e-13,0,-112.676,NA,NA,1605.85,372.772,NA,NA,NA,NA,NA,-69.7064,0,0.0958942,0.00191788,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",1,"B1","D100","E0","F1","I0","cos",0.000783648,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-1",0.116392748818509,0.102935802168352,0.114365186050327,-0.0695862597686677,NA,0,0.00521499999999993,0.0121969696969698,-0.0240850000000001,-0.000369000000000064,0.0253299999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00508556149732632,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0101161417322835,0,-0.00240588235294118,0,0,0,0.000918660287081409,0,0.0178615384615385,0,0,0,0
"2",2,1417700000,164180000,4084110000,0.386742766477886,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118674000,782.318,0.00709695,0,-41.8454,NA,NA,308.664,514.399,NA,NA,NA,NA,NA,0.843262,0,0,0,0,0,1557380000,179393000,4482200000,0.349301682209629,0,0.2,19.958,133.107,0.19708,0.100177,0.105823,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7814,0.65,0.4,0,0,0,0,0,0.00688579,0,51.1775,-3,5.16269,15,-999,-999,40.3903,-4,4.95206,14,-99,99,118674000,1817.51,8.40982e-13,0,-112.126,NA,NA,1651.98,347.331,NA,NA,NA,NA,NA,-69.7774,0,0.0984283,0.00196857,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",2,"B1","D100","E0","F1","I0","cos",0.0223458,"#V3.24O",0.316666666666667,FALSE,"B1-D100-E0-F1-I0-cos-2",0.0985257811948931,0.0926604945791205,0.0974728888301246,-0.0968113369236033,NA,0,-0.00210000000000008,0.00838636363636363,-0.0146,0.00176999999999997,0.0582299999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.0043529411764707,0,0,NA,NA,NA,NA,NA,Inf,NA,0.00743110236220482,0,0.0122921568627451,0,0,0,-0.033724880382775,0,-0.0476807692307692,0,0,0,0
"3",3,1417700000,164180000,4084110000,0.396306661671698,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121516000,783.998,0.00713939,0,-41.8454,NA,NA,309.046,515.952,NA,NA,NA,NA,NA,0.588077,0,0,0,0,0,1564460000,180163000,4504800000,0.353727135499911,0,0.2,20.1092,133.568,0.194646,0.10285,0.0990034,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7894,0.65,0.4,0,0,0,0,0,0.00596843,0,51.7437,-3,5.19676,15,-999,-999,45.1818,-4,6.0203,14,-99,99,121516000,1774.12,7.49031e-13,0,-108.789,NA,NA,1609.67,343.152,NA,NA,NA,NA,NA,-70.0013,0,0.0856535,0.00171307,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",3,"B1","D100","E0","F1","I0","cos",0.00278606,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-3",0.103519785568174,0.0973504689974418,0.103006530186503,-0.107440853989631,NA,0,0.00546000000000006,0.011878787878788,-0.02677,0.0284999999999999,-0.009966,0,0,0,0,0,NA,NA,NA,NA,0,0.00478074866310167,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0185767716535433,0,0.018972549019608,0,0,0,0.0809043062200958,0,0.15775,0,0,0,0
"4",4,1417700000,164180000,4084110000,0.388393064829302,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119226000,785.042,0.00709728,0,-41.8454,NA,NA,309.373,516.522,NA,NA,NA,NA,NA,0.735483,0,0,0,0,0,1561300000,180286000,4491810000,0.352897829605437,0,0.2,19.6601,132.458,0.201899,0.100823,0.105014,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7775,0.65,0.4,0,0,0,0,0,0.0016753,0,49.9877,-3,5.05972,15,-999,-999,41.0168,-4,5.11549,14,-99,99,119226000,1840.78,7.56789e-13,0,-107.626,NA,NA,1668.17,349.408,NA,NA,NA,NA,NA,-69.2759,0,0.0985711,0.00197142,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",4,"B1","D100","E0","F1","I0","cos",0.00082707,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-4",0.10129082316428,0.0980996467291997,0.0998259106635228,-0.0913899820519842,NA,0,-0.016995,0.00346969696969696,0.00949499999999992,0.0082299999999999,0.0501399999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.004144385026738,0,0,NA,NA,NA,NA,NA,Inf,NA,-0.015990157480315,0,-0.00789803921568612,0,0,0,-0.018736842105263,0,-0.016251923076923,0,0,0,0
"5",5,1417700000,164180000,4084110000,0.389034575464422,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119571000,784.97,0.00712969,0,-41.8454,NA,NA,309.333,516.475,NA,NA,NA,NA,NA,0.750332,0,0,0,0,0,1559440000,179592000,4490290000,0.358034781717885,0,0.2,20.2645,133.373,0.194755,0.100287,0.102119,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7876,0.65,0.4,0,0,0,0,0,-0.0118389,0,51.4661,-3,5.15605,15,-999,-999,45.3449,-4,5.96819,14,-99,99,119571000,1881.96,5.91018e-13,0,-113.898,NA,NA,1698.7,365.675,NA,NA,NA,NA,NA,-68.6047,0,0.0859958,0.00171992,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",5,"B1","D100","E0","F1","I0","cos",0.00157391,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-5",0.09997883896452,0.0938725788768425,0.0994537365545982,-0.0796839039551434,NA,0,0.0132250000000001,0.0104015151515151,-0.026225,0.00286999999999996,0.02119,0,0,0,0,0,NA,NA,NA,NA,0,0.00468449197860973,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0131122047244095,0,0.0109901960784314,0,0,0,0.0848062200956939,0,0.147728846153846,0,0,0,0
"6",6,1417700000,164180000,4084110000,0.397538264150574,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121999000,785.648,0.00714192,0,-41.8454,NA,NA,309.453,516.984,NA,NA,NA,NA,NA,0.799396,0,0,0,0,0,1554680000,178466000,4473820000,0.37026523194943,0,0.2,20.1884,133.974,0.194516,0.101654,0.100059,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7733,0.65,0.4,0,0,0,0,0,-0.0170925,0,51.2605,-3,5.15462,15,-999,-999,44.0231,-4,5.76194,14,-99,99,121999000,1777.66,6.38713e-13,0,-111.593,NA,NA,1635.38,323.21,NA,NA,NA,NA,NA,-69.4278,0,0.0890322,0.00178064,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",6,"B1","D100","E0","F1","I0","cos",0.00133754,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-6",0.0966212880016929,0.087014252649531,0.0954210342032903,-0.0686047977278834,NA,0,0.00942000000000007,0.0149545454545454,-0.0274200000000001,0.0165399999999999,0.000589999999999896,0,0,0,0,0,NA,NA,NA,NA,0,0.00391978609625667,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.00906496062992132,0,0.0107098039215688,0,0,0,0.0531842105263158,0,0.108065384615385,0,0,0,0
"7",7,1417700000,164180000,4084110000,0.377641640406355,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,115828000,780.478,0.00713275,0,-41.8454,NA,NA,308.102,513.325,NA,NA,NA,NA,NA,0.638528,0,0,0,0,0,1539970000,177336000,4431420000,0.36011255985666,0,0.2,20.1541,132.624,0.198299,0.0973116,0.103189,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7744,0.65,0.4,0,0,0,0,0,-0.035986,0,50.3547,-3,5.07766,15,-999,-999,41.5823,-4,5.16901,14,-99,99,115828000,1856.72,5.45475e-13,0,-110.993,NA,NA,1690.37,347.043,NA,NA,NA,NA,NA,-69.8014,0,0.0966946,0.00193389,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",7,"B1","D100","E0","F1","I0","cos",0.000559247,"#V3.24O",0.35,FALSE,"B1-D100-E0-F1-I0-cos-7",0.0862453269379982,0.0801315629187477,0.0850393353753939,-0.0464172344205292,NA,0,0.00770499999999998,0.00472727272727269,-0.00850500000000004,-0.0268840000000001,0.03189,0,0,0,0,0,NA,NA,NA,NA,0,0.00397860962566849,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.00876574803149598,0,-0.00438039215686271,0,0,0,-0.00520813397129188,0,-0.0059596153846154,0,0,0,0
"8",8,1417700000,164180000,4084110000,0.394364990169217,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120908000,785.044,0.00710915,0,-41.8454,NA,NA,309.377,516.402,NA,NA,NA,NA,NA,0.852599,0,0,0,0,0,1559260000,180182000,4489900000,0.357863204080269,0,0.2,19.9881,132.424,0.197879,0.0980993,0.107152,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7936,0.65,0.4,0,0,0,0,0,0.00224311,0,51.3819,-3,5.17604,15,-999,-999,40.4913,-4,4.95713,14,-99,99,120908000,1888.07,8.67319e-13,0,-111.937,NA,NA,1714.99,354.867,NA,NA,NA,NA,NA,-69.9527,0,0.097883,0.00195766,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",8,"B1","D100","E0","F1","I0","cos",0.0626089,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-8",0.09985187275164,0.0974661956389329,0.0993582445134925,-0.0925583837279408,NA,0,-0.000595000000000034,0.00321212121212126,-0.0106050000000001,-0.0190070000000001,0.0715199999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.005005347593583,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0114547244094489,0,0.0149098039215688,0,0,0,-0.0313086124401913,0,-0.0467057692307692,0,0,0,0
"9",9,1417700000,164180000,4084110000,0.391424325005938,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120079000,784.302,0.0071347,0,-41.8454,NA,NA,309.016,516.114,NA,NA,NA,NA,NA,0.760995,0,0,0,0,0,1529560000,177487000,4405330000,0.367087142166421,0,0.2,19.7089,132.362,0.201169,0.102727,0.0992157,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7654,0.65,0.4,0,0,0,0,0,-0.00139647,0,51.4593,-3,5.19335,15,-999,-999,41.189,-4,5.21307,14,-99,99,120079000,1798.35,7.0709e-13,0,-109.907,NA,NA,1666.52,310.894,NA,NA,NA,NA,NA,-69.2508,0,0.0955092,0.00191018,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",9,"B1","D100","E0","F1","I0","cos",0.00992763,"#V3.24O",0.316666666666667,FALSE,"B1-D100-E0-F1-I0-cos-9",0.0789024476264372,0.0810512851748081,0.0786511626768133,-0.0621759591439489,NA,0,-0.014555,0.0027424242424242,0.00584499999999988,0.0272699999999999,-0.00784300000000002,0,0,0,0,0,NA,NA,NA,NA,0,0.00349732620320857,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0129783464566929,0,0.0183039215686275,0,0,0,-0.0146172248803827,0,0.00251346153846152,0,0,0,0
"10",10,1417700000,164180000,4084110000,0.386823567435745,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118767000,782.015,0.00712031,0,-41.8454,NA,NA,308.469,514.384,NA,NA,NA,NA,NA,0.750721,0,0,0,0,0,1579510000,182113000,4545730000,0.350245175142386,0,0.2,20.1832,132.601,0.19823,0.0961851,0.112639,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7965,0.65,0.4,0,0,0,0,0,-0.0151673,0,50.2748,-3,5.03825,15,-999,-999,45.5973,-4,5.95363,14,-99,99,118767000,1844.76,6.66993e-13,0,-113.867,NA,NA,1691.37,337.108,NA,NA,NA,NA,NA,-69.9458,0,0.0875994,0.00175199,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",10,"B1","D100","E0","F1","I0","cos",0.0402671,"#V3.24O",0.333333333333333,FALSE,"B1-D100-E0-F1-I0-cos-10",0.114135571700642,0.109227676939944,0.113028297474848,-0.0945609196870741,NA,0,0.00915999999999997,0.0045530303030303,-0.00885000000000011,-0.0381490000000001,0.12639,0,0,0,0,0,NA,NA,NA,NA,0,0.00516042780748676,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0103385826771653,0,-0.0121078431372549,0,0,0,0.0908444976076555,0,0.144928846153846,0,0,0,0
